id,phrase,language,sentiment,emotion,emotion_intensity,intent,context,audio_path,is_regional
276,Me siento asfixiado,es,Negative,Overwhelmed,High,Self-Expression,emotional distress,audio/es/301.wav,No
277,답답해요,kr,Negative,Overwhelmed,High,Self-Expression,casual/emotional,audio/kr/302.wav,No
278,숨막혀요,kr,Negative,Overwhelmed,High,Self-Expression,casual/emotional,audio/kr/303.wav,No
279,너무 힘들어요,kr,Negative,Exhausted,High,Self-Expression,broader emotional,audio/kr/304.wav,No
280,我喘不过气来,zh,Negative,Overwhelmed,High,Self-Expression,mental stress,audio/zh/305.wav,No
281,我快崩溃了,zh,Negative,Breakdown,High,Self-Expression,emotional stress,audio/zh/306.wav,No
282,我很压抑,zh,Negative,Suppressed,High,Self-Expression,depression/stress,audio/zh/307.wav,No
283,Estoy harto de todo,es,Negative,Burnout,High,Self-Expression,emotional overload,audio/es/308.wav,No
284,Estoy cansado de la vida,es,Negative,Hopelessness,High,Self-Expression,deep distress,audio/es/309.wav,No
285,No aguanto más,es,Negative,Breakdown,High,Self-Expression,emotional outcry,audio/es/310.wav,No
286,Estoy al límite,es,Negative,Exhaustion,High,Self-Expression,burnout/stress,audio/es/311.wav,No
287,진짜 지쳤어요,kr,Negative,Exhaustion,High,Self-Expression,emotional fatigue,audio/kr/312.wav,No
288,더는 못 하겠어요,kr,Negative,Breakdown,High,Self-Expression,collapsing,audio/kr/313.wav,No
289,모든 게 싫어요,kr,Negative,Burnout,High,Self-Expression,losing interest,audio/kr/314.wav,No
290,삶이 지긋지긋해요,kr,Negative,Tired of life,High,Self-Expression,mentally drained,audio/kr/315.wav,No
291,我受够了,zh,Negative,Burnout,High,Self-Expression,mental shutdown,audio/zh/316.wav,No
292,我真的累了,zh,Negative,Exhaustion,High,Self-Expression,common in depression,audio/zh/317.wav,No
293,我快撑不住了,zh,Negative,Breakdown,High,Self-Expression,mental exhaustion,audio/zh/318.wav,No
294,我对生活感到厌倦,zh,Negative,Life fatigue,High,Self-Expression,formal/accurate,audio/zh/319.wav,No
295,Estoy en las nubes,es,Neutral,Distracted,Mild,Self-Expression,idiomatic,audio/es/320.wav,No
296,Estoy en la luna,es,Neutral,Distracted,Mild,Self-Expression,idiomatic,audio/es/321.wav,No
297,Estoy en otro mundo,es,Neutral,Absent,Moderate,Self-Expression,figurative,audio/es/322.wav,No
298,Estoy ido / ida,es,Neutral,Zoned out,Mild,Self-Expression,informal,audio/es/323.wav,No
299,멍 때리고 있어요,kr,Neutral,Zoned out,Mild,Self-Expression,slang/everyday,audio/kr/324.wav,No
300,딴 생각하고 있었어요,kr,Neutral,Distracted,Mild,Self-Expression,polite casual,audio/kr/325.wav,No
301,정신이 딴 데 가 있어요,kr,Neutral,Absent,Moderate,Self-Expression,literal everyday,audio/kr/326.wav,No
302,꿈꾸는 것 같아요,kr,Neutral,Dreamy,Mild,Self-Expression,metaphor/poetic,audio/kr/327.wav,No
303,我在神游,zh,Neutral,Zoned out,Mild,Self-Expression,daydreaming,audio/zh/328.wav,No
304,我心不在焉,zh,Neutral,Absent,Moderate,Self-Expression,formal/descriptive,audio/zh/329.wav,No
305,我走神了,zh,Neutral,Zoned out,Mild,Self-Expression,very common,audio/zh/330.wav,No
306,我在发呆,zh,Neutral,Blank / Spaced,Mild,Self-Expression,direct/casual,audio/zh/331.wav,No
307,Está bromeando,es,Positive,Humor,Mild,Social Interaction,everyday expression,audio/es/332.wav,No
308,Está haciendo el payaso,es,Positive,Playful,Mild,Social Mood,slang/informal,audio/es/333.wav,No
309,Está tonteando,es,Positive,Fooling around,Mild,Social Humor,casual,audio/es/335.wav,No
310,장난치고 있어요,kr,Positive,Joking,Mild,Social Mood,very common,audio/kr/336.wav,No
311,농담이에요,kr,Positive,Humor,Mild,Expression,neutral polite,audio/kr/337.wav,No
312,장난이야,kr,Positive,Just kidding,Mild,Casual Interaction,friendly tone,audio/kr/338.wav,No
313,웃기고 있네,kr,Positive,Funny (tease),Mild,Teasing / sarcasm,context-dependent,audio/kr/339.wav,No
314,他在开玩笑,zh,Positive,Joking,Mild,Social Humor,standard,audio/zh/340.wav,No
315,他在搞笑,zh,Positive,Humor,Mild,Playfulness,light joking,audio/zh/341.wav,No
316,他在胡闹,zh,Positive,Clowning,Mild,Playful Humor,silly/informal,audio/zh/342.wav,No
317,他在逗我玩,zh,Positive,Teasing,Mild,Friendly teasing,common friendly phrase,audio/zh/343.wav,No
318,¡Demuéstrales!,es,Positive,Motivation,High,Encouragement,direct challenge,audio/es/344.wav,No
319,¡Haz que se traguen sus palabras!,es,Positive,Defiance,High,Motivation,prove others wrong,audio/es/345.wav,No
320,¡Que vean de lo que eres capaz!,es,Positive,Empowerment,High,Encouragement,motivational,audio/es/346.wav,No
321,¡A callar bocas!,es,Positive,Confidence,High,Defiant Boost,urban/slang,audio/es/347.wav,No
322,보여줘!,kr,Positive,Motivation,High,Encouragement,direct/common,audio/kr/348.wav,No
323,네가 얼마나 대단한지 보여줘!,kr,Positive,Empowerment,High,Motivation,full sentence,audio/kr/349.wav,No
324,입 다물게 해줘!,kr,Positive,Defiance,High,Challenge,slang,audio/kr/350.wav,No
325,이길 수 있어!,kr,Positive,Encouragement,High,Supportive Boost,gentle/common,audio/kr/351.wav,No
326,给他们看看！,zh,Positive,Motivation,High,Encouragement,common phrase,audio/zh/352.wav,No
327,让他们闭嘴！,zh,Positive,Defiance,High,Empowerment,powerful slang,audio/zh/353.wav,No
328,让他们看看你的实力！,zh,Positive,Confidence,High,Challenge,strength/power-focused,audio/zh/354.wav,No
329,让他们知道你不是开玩笑的！,zh,Positive,Serious Intent,High,Encouragement,assertiveness,audio/zh/355.wav,No
330,Me siento ahogado,es,Negative,Distress,High,Self-Expression,mental health,audio/es/356.wav,No
331,Me siento atrapado,es,Negative,Distress,High,Emotional Expression,informal/common,audio/es/357.wav,No
332,Estoy agobiado,es,Negative,Overwhelmed,Moderate,Emotional State,common usage,audio/es/358.wav,No
333,No puedo más,es,Negative,Despair,High,Breakdown,informal/expressive,audio/es/359.wav,No
334,숨막힐 것 같아,kr,Negative,Distress,High,Self-Expression,emotionally intense,audio/kr/360.wav,No
335,답답해요,kr,Negative,Constrained,Moderate,Frustration,common usage,audio/kr/361.wav,No
336,벗어나고 싶어요,kr,Negative,Trapped,High,Mental escape,emotionally overwhelmed,audio/kr/362.wav,No
337,너무 힘들어요,kr,Negative,Overwhelmed,High,Burnout,informal and direct,audio/kr/363.wav,No
338,感到窒息,zh,Negative,Distress,High,Emotional Pressure,formal tone,audio/zh/364.wav,No
339,觉得被困住了,zh,Negative,Trapped,Moderate,Mental strain,descriptive,audio/zh/366.wav,No
340,感觉压力好大,zh,Negative,Pressure,Moderate,Stress,informal,audio/zh/367.wav,No
341,Tú puedes con eso y más,es,Positive,Confidence,High,Encouragement,empowering statement,audio/es/368.wav,No
342,Eres más que capaz,es,Positive,Empowerment,High,Confidence Boost,common praise,audio/es/369.wav,No
343,Tienes lo que se necesita,es,Positive,Empowerment,High,Supportive,everyday encouragement,audio/es/370.wav,No
344,Vas sobrado/a,es,Positive,Confidence,High,Empowerment,slang/youth tone,audio/es/371.wav,No
345,넌 충분히 할 수 있어!,kr,Positive,Empowerment,High,Encouragement,informal & strong,audio/kr/372.wav,No
346,넌 최고야!,kr,Positive,Praise,High,Emotional Support,youthful praise,audio/kr/373.wav,No
347,너라면 충분해!,kr,Positive,Confidence,High,Motivation,emotional tone,audio/kr/374.wav,No
348,문제없어! 넌 해낼 거야!,kr,Positive,Empowerment,High,Support Boost,assuring/supportive,audio/kr/375.wav,No
349,你一定可以的！,zh,Positive,Encouragement,High,Supportive Push,common praise,audio/zh/377.wav,No
350,你太厉害了！,zh,Positive,Confidence,High,Praise,slang/casual,audio/zh/378.wav,No
351,你有这个实力！,zh,Positive,Empowerment,High,Encouragement,strength recognition,audio/zh/379.wav,No
352,Estoy bien,es,Neutral,Reassurance,Mild,Self-Expression,common expression,audio/es/380.wav,No
353,Estoy tranquilo/a,es,Neutral,Calm,Mild,Inner peace,self-reflection,audio/es/382.wav,No
354,No pasa nada,es,Neutral,Downplay,Mild,Emotional Guard,often hiding sadness,audio/es/383.wav,No
355,괜찮아요,kr,Neutral,Reassurance,Mild,Self-Expression,common korean phrase,audio/kr/384.wav,No
356,전 괜찮습니다,kr,Neutral,Reassurance,Mild,Self-Expression,formal tone,audio/kr/385.wav,No
357,문제 없어요,kr,Neutral,Reassurance,Mild,Reassurance,calm and clear,audio/kr/386.wav,No
358,다 괜찮아요,kr,Neutral,Calm,Mild,Comforting,everyday usage,audio/kr/387.wav,No
359,我没事,zh,Neutral,Reassurance,Mild,Self-Expression,emotional response,audio/zh/388.wav,No
360,我很好,zh,Neutral,Calm / Okay,Mild,Check-in,positive neutral,audio/zh/389.wav,No
361,一切都好,zh,Neutral,Calm,Mild,Reassuring,peaceful confirmation,audio/zh/390.wav,No
362,没关系,zh,Neutral,Comforting,Mild,Casual reply,often used by friends,audio/zh/391.wav,No
363,Estoy aburrido/a,es,Negative,Boredom,Mild,Self-Expression,everyday complaint,audio/es/392.wav,No
364,Estoy harto/a,es,Negative,Frustration,Moderate,Emotional vent,common venting phrase,audio/es/393.wav,No
365,Estoy cansado/a de todo,es,Negative,Burnout,High,Emotional fatigue,mental overload,audio/es/395.wav,No
366,지루해요,kr,Negative,Boredom,Mild,Self-Expression,common usage,audio/kr/396.wav,No
367,짜증나요,kr,Negative,Annoyance,Moderate,Frustration,everyday tone,audio/kr/397.wav,No
368,이젠 지쳤어요,kr,Negative,Exhaustion,High,Burnout,emotional drain,audio/kr/398.wav,No
369,모든 게 싫어요,kr,Negative,Despair,High,Deep frustration,very emotionally charged,audio/kr/399.wav,No
370,我很无聊,zh,Negative,Boredom,Mild,Self-Expression,common phrase,audio/zh/400.wav,No
371,我受够了,zh,Negative,Frustration,Moderate,Emotional stress,strong tone,audio/zh/401.wav,No
372,我对生活感到厌倦,zh,Negative,Hopelessness,High,Burnout,matches “زهقت من حياتي”,audio/zh/402.wav,No
373,我快撑不住了,zh,Negative,Despair,High,Breakdown,cry for help,audio/zh/403.wav,No
374,واقع في جلده من الخوف,ar,Negative,Fear,High,Self-Expression,egyptian slang,audio/ar/404.wav,Yes
375,Muerto de miedo,es,Negative,Fear,High,Emotional state,common expression,audio/es/405.wav,No
376,Temblando de miedo,es,Negative,Fear,High,Physical response,literal expression,audio/es/406.wav,No
377,Cagado de miedo,es,Negative,Fear,High,Slang / shock,very informal,audio/es/407.wav,No
378,겁에 질렸어요,kr,Negative,Fear,High,Emotional state,formal description,audio/kr/408.wav,No
379,무서워 죽겠어요,kr,Negative,Fear,High,Informal panic,slang,audio/kr/409.wav,No
380,덜덜 떨고 있어요,kr,Negative,Fear,High,Physical reaction,literal,audio/kr/410.wav,No
381,我吓坏了,zh,Negative,Fear,High,Self-Expression,very common,audio/zh/412.wav,No
382,我在发抖,zh,Negative,Fear,High,Physical panic,literal,audio/zh/413.wav,No
383,害怕得要命,zh,Negative,Fear,High,Fearful reaction,strong phrase,audio/zh/414.wav,No
384,طاير من الرعب,ar,Negative,Fear,High,Self-Expression,slang,audio/ar/415.wav,Yes
